passage_id,question,passage
1999_762.txt:Art.6,"Jakie obiekty będzie użytkować Wydział Teologii Uniwersytetu?","Art. 6. 1. Wydział Teologii Uniwersytetu będzie użytkować obiekty należące do  Archidiecezji Warmińskiej. 2. Koszty związane z utrzymaniem i funkcjonowaniem obiektów, o których mowa w  ust. 1, będą pokrywane przez Kościół Katolicki w części obejmującej  inwestycje i remonty, zaś przez Uniwersytet w części obejmującej bieżące  utrzymanie i funkcjonowanie tych obiektów."
2001_23.txt:Art.11,"Co się ogłasza w Dzienniku Urzędowym Rzeczypospolitej Polskiej?","Art. 11. 1. W Dzienniku Urzędowym Rzeczypospolitej Polskiej "Monitor Polski B", zwanym  dalej "Monitor Polski B", ogłasza się:  1) sprawozdania finansowe określone w przepisach o rachunkowości,  2) ogłoszenia i obwieszczenia przedsiębiorców, jeżeli odrębne przepisy nie  wymagają ich ogłoszenia w Monitorze Sądowym i Gospodarczym,  3) inne akty prawne, a także informacje, komunikaty, ogłoszenia i  obwieszczenia organów, instytucji i osób, jeżeli odrębne ustawy tak  stanowią. 2. Ogłaszanie obwieszczeń i ogłoszeń, o których mowa w ust. 1 pkt 1 i 2, jest  odpłatne. 3. Prezes Rady Ministrów określa, w drodze rozporządzenia, wysokość opłat,  kierując się rzeczowymi i osobowymi kosztami wydawania Monitora Polskiego B."
2000_443.txt:Art.19,"Kto określa zasady przechowywania umów międzynarodowych?","Art. 19. Rada Ministrów określi, w drodze rozporządzenia, szczegółowe zasady ogłaszania i przechowywania umów międzynarodowych, mając w szczególności na uwadze udostępnienie umowy międzynarodowej w języku polskim oraz w jednym z języków, w których został sporządzony tekst autentyczny.  Rozdział 6  Wykonywanie umowy międzynarodowej"
2000_1192.txt:Art.3,"Co stanowi strefę ochronną wokół Pomnika Zagłady?","Art. 3. 1. Wokół Pomnika Zagłady ustanawia się strefę ochronną. 2. Strefę ochronną stanowi pas gruntu o szerokości nie większej niż 100 m od  granic Pomnika Zagłady."
2000_1192.txt:Art.12,"Co jest organem właściwym w sprawach wywłaszczania nieruchomości?","Art. 12. Organem właściwym w sprawach wywłaszczania nieruchomości na cele ochrony Pomnika Zagłady jest wojewoda."
2001_20.txt:Art.1,"Co ma na celu wykorzystywanie danych rachunkowych z gospodarstw rolnych?","Art. 1. Ustawa określa system zbierania i wykorzystywania danych rachunkowych z gospodarstw rolnych mający na celu:  1) określanie rocznych dochodów w gospodarstwach rolnych,  2) dokonywanie analizy ekonomicznej gospodarstw rolnych oraz ocenę sytuacji  w rolnictwie i na rynkach rolnych."
2001_509.txt:Art.7,"Czym jest Izba Rzeczników Patentowych?","Art. 7. 1. Ogół rzeczników patentowych i aplikantów rzecznikowskich tworzy Polską  Izbę Rzeczników Patentowych. 2. Polska Izba Rzeczników Patentowych reprezentuje jej członków i sprawuje  pieczę nad należytym wykonywaniem zawodu rzecznika patentowego w granicach  interesu publicznego oraz dla jego ochrony. 3. Polska Izba Rzeczników Patentowych ma osobowość prawną. Jej samodzielność  podlega ochronie sądowej. 4. Ilekroć w niniejszej ustawie jest mowa o samorządzie - rozumie się przez  to Polską Izbę Rzeczników Patentowych.  Rozdział 2  Wykonywanie zawodu rzecznika patentowego "
2001_509.txt:Art.18,"Kiedy powstaje prawo wykonywania zawodu rzecznika patentowego?","Art. 18. 1. Prawo wykonywania zawodu rzecznika patentowego powstaje po złożeniu  ślubowania, z dniem dokonania wpisu na listę rzeczników patentowych. 2. Listę rzeczników patentowych prowadzi Urząd Patentowy. 3. Lista rzeczników patentowych jest jawna. 4. Wpisu na listę rzeczników patentowych dokonuje się na wniosek  zainteresowanego. "
2001_509.txt:Art.15,"Jak często Rzecznik patentowy jest zobowiązwany do opłacania składek?","Art. 15. 1. Rzecznik patentowy obowiązany jest do opłacania, na warunkach określonych  w ustawie, składki na potrzeby samorządu, której wysokość ustala corocznie  Krajowa Rada Rzeczników Patentowych. 2. Rzecznicy patentowi wymienieni w art. 8 ust. 4 pkt 1 opłacają składkę na  potrzeby samorządu w wysokości 30 % składki, o której mowa w ust. 1.  "
1997_753.txt:Art.12,"Z ilu członków składa się Kolegium wojskowego sądu okręgowego?","Art. 12. § 1. Kolegium wojskowego sądu okręgowego, zwane dalej "kolegium", składa się z czterech do ośmiu członków, wybranych spośród sędziów orzekających  w sądach działających na obszarze właściwości wojskowego sądu okręgowego. § 2. Przewodniczącym kolegium jest prezes wojskowego sądu okręgowego, a w razie jego nieobecności - zastępca przewodniczącego, wybrany przez kolegium spośród jego członków. § 3. Kadencja kolegium trwa 2 lata. "
2001_1403.txt:Art.40,"Kto przeprowadza aplikację dyplomatyczno-konsularną?","Art. 40. 1. Aplikację dyplomatyczno-konsularną organizuje i przeprowadza dyrektor  generalny służby zagranicznej. 2. Dyrektor generalny służby zagranicznej może skrócić okres aplikacji  dyplomatyczno-konsularnej lub zwolnić z obowiązku jej odbywania osobę  spełniającą warunki, o których mowa w art. 12 ust. 1 pkt 3-5, której  doświadczenie zawodowe w sferze stosunków zagranicznych gwarantuje fachowe  wykonywanie obowiązków członka personelu dyplomatyczno-konsularnego służby  zagranicznej."
1997_507.txt:Art.17,"Co bada Minister Gospodarki w toku postępowania ochronnego","Art. 17.  1. Minister Gospodarki w toku postępowania ochronnego zbada w szczególności:  1) wielkość przywozu ogółem w ilościach bezwzględnych, w tym z krajów, z których nastąpił nadmierny przywóz oraz stosunek wielkości tego przywozu do wielkości krajowej produkcji lub konsumpcji,  2) wpływ przywozu na sytuację producentów krajowych towaru podobnego lub bezpośrednio konkurencyjnego, wyrażający się w zmianach:  a) wielkości produkcji,  b) stopnia wykorzystania zdolności produkcyjnych,  c) stanu zapasów,  d) wielkości lub wartości sprzedaży,  e) udziału w rynku,  f) zysku lub straty,  g) stopy zwrotu z zaangażowanego kapitału, h) przepływów pieniężnych,  i) stanu zatrudnienia,  j) wydajności pracy,  3) istnienie związku przyczynowego pomiędzy przywozem towarów na polski  obszar celny, a sytuacją krajowych producentów, o której mowa w pkt 2.  2. W toku postępowania ochronnego Minister Gospodarki zbada także czynniki  inne niż przywóz, które wyrządziły lub mogły wyrządzić poważną szkodę przemysłowi krajowemu, lub przyczyniły się do powstania takiej szkody. Szkoda wyrządzona przez te czynniki nie będzie przypisywana przywozowi.  3. W celu stwierdzenia, czy przywóz towaru objętego postępowaniem ochronnym zagraża wyrządzeniem poważnej szkody przemysłowi krajowemu,  Minister Gospodarki zbada, czy istniejąca sytuacja przekształci się w poważną szkodę, biorąc pod uwagę:  1) wielkość i tempo wzrostu przywozu na polski obszar celny towaru objętego  postępowaniem ochronnym,  2) możliwości eksportowe kraju eksportu towaru objętego postępowaniem ochronnym i prawdopodobieństwo wykorzystania tych możliwości dla zwiększenia przywozu na polski obszar celny. "
1997_752.txt:Art.3,"Kiedy przywóz towarów na polski obszar celny uważa się za nadmierny?","Art. 4. Przywóz towarów na polski obszar celny uważa się za nadmierny, jeżeli występuje w tak zwiększonych ilościach:  1) bezwzględnych lub  2) w stosunku do wielkości krajowej produkcji towaru podobnego lub bezpośrednio konkurencyjnego,  że wyrządza poważną szkodę lub zagraża wyrządzeniem takiej szkody przemysłowi krajowemu. "
2004_285.txt:Art.15,"Co robi Minister właściwy do spraw wewnętrznych?","Art. 15. Minister właściwy do spraw wewnętrznych: 1) koordynuje działania służb zaangażowanych w organizację Konferencji COP24 w zakresie zapewnienia bezpieczeństwa i porządku publicznego, w szczególności w zakresie realizacji planu, o którym mowa w art. 16 ust. 1; 2) kieruje, w uzasadnionych przypadkach, do wsparcia Departamentu Bezpieczeństwa Narodów Zjednoczonych siły i środki będące w jego dyspozycji w celu zapewnienia bezpieczeństwa; 3) współpracuje z Departamentem Bezpieczeństwa Narodów Zjednoczonych i Sekretariatem w sprawach dotyczących bezpieczeństwa podczas Konferencji COP24 oraz wydarzeń poprzedzających Konferencję COP24; 4) współpracuje z Prezydentem Miasta Katowice w sprawach zapewnienia bezpieczeństwa i porządku publicznego podczas Konferencji COP24."
2004_285.txt:Art.3,"Jakie zadania związane są z organizacją COP24?","Art. 3. Zespół do spraw organizacji Konferencji COP24, zwany dalej „Zespołem”, wykonuje następujące zadania związane z organizacją Konferencji COP24: 1) koordynuje działania organów administracji publicznej związane z organizacją Konferencji COP24; 2) monitoruje postęp przygotowań organizacji Konferencji COP24 oraz dokonuje okresowej oceny stanu tych przygotowań; 3) nadzoruje realizację zadań związanych z organizacją Konferencji COP24."
2004_177.txt:Art.159,"Kiedy upływa kadencja Rady?","Art. 159. 1. Kadencja Rady upływa wraz z upływem kadencji Prezesa Urzędu. 2. Członkostwo w Radzie wygasa w przypadku upływu kadencji Rady, śmierci  członka Rady, jego odwołania albo rezygnacji. 3. Prezes Rady Ministrów odwołuje członka Rady, jeżeli przestał on odpowiadać  jednemu z warunków określonych w art. 158 ust. 3 pkt 1-3, a na wniosek  Prezesa Urzędu w razie:  1) niewykonywania obowiązków członka Rady;  2) utraty autorytetu dającego rękojmię prawidłowej realizacji zadań Rady;  3) choroby uniemożliwiającej sprawowanie funkcji członka Rady."
2001_1352.txt:Art.16,"Co należy zrobić w przypadku wystąpienia różnych marginesów dumpingu?","Art. 16. W przypadku wystąpienia różnych marginesów dumpingu można ustalić średni ważony margines dumpingu.  Rozdział 2  Ustalenie szkody"
